my_name,my_value
model_lstm0_output_70000_plus_6000.pth, 52.89616238589676
model_lstm0_output_70000_plus_7000.pth, 53.86157765650635
model_lstm0_output_70000_plus_8000.pth, 49.95825999946258
model_lstm0_output_70000_plus_9000.pth, 49.85904178298492
model_lstm0_output_70000_plus_10000.pth, 47.069059496172876
model_lstm0_output_70000_plus_11000.pth, 49.62706032494444
model_lstm0_output_70000_plus_12000.pth, 45.324768568932214
model_lstm0_output_70000_plus_13000.pth, 43.23341509135277
model_lstm0_output_70000_plus_14000.pth, 39.575557020020405
model_lstm0_output_70000_plus_15000.pth, 39.22661315585664
model_lstm0_output_70000_plus_16000.pth, 37.57695163992313
model_lstm0_output_70000_plus_17000.pth, 40.651728609186826
model_lstm0_output_70000_plus_18000.pth, 39.133702151403405
model_lstm0_output_70000_plus_19000.pth, 37.759995863279514
model_lstm0_output_70000_plus_20000.pth, 37.29688423239898
model_lstm0_output_70000_plus_21000.pth, 38.879206921818586
model_lstm0_output_70000_plus_22000.pth, 37.29411830518462
model_lstm0_output_70000_plus_23000.pth, 35.82413642409779
model_lstm0_output_70000_plus_24000.pth, 35.06777770520345
model_lstm0_output_70000_plus_25000.pth, 35.616658175027034
model_lstm0_output_70000_plus_26000.pth, 38.83314778266221
model_lstm0_output_70000_plus_27000.pth, 37.283785890938404
model_lstm0_output_70000_plus_28000.pth, 37.577788462479376
model_lstm0_output_70000_plus_29000.pth, 36.50973775518652
model_lstm0_output_70000_plus_30000.pth, 36.21926690479758
model_lstm0_output_70000_plus_31000.pth, 35.761316564069965
model_lstm0_output_70000_plus_31000.pth, 35.758070738080704
model_lstm0_output_70000_plus_32000.pth, 34.27587892459333
model_lstm0_output_70000_plus_33000.pth, 36.27363394665444
model_lstm0_output_70000_plus_34000.pth, 35.813088376187345
model_lstm0_output_70000_plus_35000.pth, 32.54376473445381
model_lstm0_output_70000_plus_36000.pth, 33.62997749155222
model_lstm0_output_70000_plus_37000.pth, 35.77853987238189
model_lstm0_output_70000_plus_38000.pth, 34.458710702590096
model_lstm0_output_70000_plus_39000.pth, 32.83639192671413
model_lstm0_output_70000_plus_40000.pth, 34.530774212514146
model_lstm0_output_70000_plus_41000.pth, 35.14632628684624
model_lstm0_output_70000_plus_42000.pth, 41.576845154536436
model_lstm0_output_70000_plus_43000.pth, 34.2914508812799
model_lstm0_output_70000_plus_44000.pth, 32.5093357562837
model_lstm0_output_70000_plus_45000.pth, 33.31828700314863
model_lstm0_output_70000_plus_46000.pth, 33.98401314790298
model_lstm0_output_70000_plus_47000.pth, 34.577070652447105
model_lstm0_output_70000_plus_48000.pth, 32.69851100782641
model_lstm0_output_70000_plus_49000.pth, 33.28467982015753
